"";"genotype";"semis";"sampling";"sampling_days";"id";"digestibilite"
"142";"G18-F318";"date 3";"4";21;"37";55,9303860708819
"143";"G18-F318";"date 3";"5B";28;"37";54,9453523025046
"144";"G18-F318";"date 3";"7A";45;"37";56,3100785069284
"145";"NYS302";"date 1";"7B";45;"14";55,5650869766341
"146";"NYS302";"date 1";"6B";35;"14";59,3217275276233
"147";"NYS302";"date 1";"5A";28;"14";59,2047692112741
"148";"NYS302";"date 1";"8B";56;"14";55,9705351535419
"149";"NYS302";"date 1";"3";14;"14";55,6912141144039
"150";"NYS302";"date 1";"6A";35;"14";60,6519009553955
"151";"NYS302";"date 1";"8A";56;"14";51,9363240668071
"152";"NYS302";"date 1";"2";4;"14";59,6519895961452
"153";"NYS302";"date 1";"1";0;"14";59,8949848628317
"154";"NYS302";"date 1";"4";21;"14";55,8198448120897
"155";"NYS302";"date 1";"5B";28;"14";57,6560932687015
"156";"NYS302";"date 1";"7A";45;"14";56,2468778277639
"157";"NYS302";"date 2";"7B";45;"28";51,0748286402611
"158";"NYS302";"date 2";"6B";35;"28";56,7559614716317
"159";"NYS302";"date 2";"5A";28;"28";56,2340772657346
"160";"NYS302";"date 2";"8B";56;"28";50,0124801296809
"161";"NYS302";"date 2";"3";14;"28";54,7070254782961
"162";"NYS302";"date 2";"6A";35;"28";56,2605850434848
"163";"NYS302";"date 2";"8A";56;"28";49,5441766734369
"164";"NYS302";"date 2";"2";4;"28";60,1748381585973
"165";"NYS302";"date 2";"1";0;"28";60,5564816658894
"166";"NYS302";"date 2";"4";21;"28";53,5694542120091
"167";"NYS302";"date 2";"5B";28;"28";54,976373557307
"168";"NYS302";"date 2";"7A";45;"28";53,0527696754442
"169";"NYS302";"date 3";"7B";45;"42";52,4229947955446
"170";"NYS302";"date 3";"6B";35;"42";54,3976926966956
"171";"NYS302";"date 3";"5A";28;"42";55,9953526670809
"172";"NYS302";"date 3";"8B";56;"42";50,5157597429818
"173";"NYS302";"date 3";"3";14;"42";52,3832792074984
"174";"NYS302";"date 3";"6A";35;"42";57,0405127432622
"175";"NYS302";"date 3";"8A";56;"42";51,9383544345546
"176";"NYS302";"date 3";"2";4;"42";59,5530840174947
"177";"NYS302";"date 3";"1";0;"42";59,5205944121546
"178";"NYS302";"date 3";"4";21;"42";54,8379327344229
"179";"NYS302";"date 3";"5B";28;"42";54,9572086848456
"180";"NYS302";"date 3";"7A";45;"42";53,2566383031744
"181";"C105";"date 1";"7B";45;"2";51,1376477016324
"182";"C105";"date 1";"6B";35;"2";53,8848106615291
"183";"C105";"date 1";"5A";28;"2";55,4752508751631
"184";"C105";"date 1";"8B";56;"2";49,9344547184994
"185";"C105";"date 1";"3";14;"2";53,4507535171041
"186";"C105";"date 1";"6A";35;"2";55,6571681560569
"187";"C105";"date 1";"8A";56;"2";46,6657317476069
"188";"C105";"date 1";"2";4;"2";57,1599887072113
"189";"C105";"date 1";"1";0;"2";57,1567118178145
"190";"C105";"date 1";"4";21;"2";51,7895808049716
"191";"C105";"date 1";"5B";28;"2";53,0303175474505
"192";"C105";"date 1";"7A";45;"2";50,8946552144157
"193";"C105";"date 2";"7B";45;"16";54,4699887060392
"194";"C105";"date 2";"6B";35;"16";55,2301092704286
"195";"C105";"date 2";"5A";28;"16";54,8287904927345
"196";"C105";"date 2";"8B";56;"16";49,7785947853024
"197";"C105";"date 2";"3";14;"16";59,0176522929755
"198";"C105";"date 2";"6A";35;"16";51,0178647320471
"199";"C105";"date 2";"8A";56;"16";48,5545198155804
"200";"C105";"date 2";"2";4;"16";59,5836582905573
"201";"C105";"date 2";"1";0;"16";60,1076689096973
"202";"C105";"date 2";"4";21;"16";52,7870822042519
"203";"C105";"date 2";"5B";28;"16";52,3519919756712
"204";"C105";"date 2";"7A";45;"16";53,4154404122652
"205";"C105";"date 3";"7B";45;"30";54,8412484106462
"206";"C105";"date 3";"6B";35;"30";54,9695293486564
"207";"C105";"date 3";"5A";28;"30";57,5651517681716
"208";"C105";"date 3";"8B";56;"30";51,1285899129298
"209";"C105";"date 3";"3";14;"30";62,5980545946831
"210";"C105";"date 3";"6A";35;"30";59,4330943697006
"211";"C105";"date 3";"8A";56;"30";53,5568481707575
"212";"C105";"date 3";"2";4;"30";62,9594002669046
"213";"C105";"date 3";"1";0;"30";69,4768680702056
"214";"C105";"date 3";"4";21;"30";54,6112460073088
"215";"C105";"date 3";"5B";28;"30";54,5335458470767
"216";"C105";"date 3";"7A";45;"30";54,5293276732695
"217";"F618";"date 1";"7B";45;"5";49,918533278635
"218";"F618";"date 1";"6B";35;"5";54,1042557430473
"219";"F618";"date 1";"5A";28;"5";NA
"220";"F618";"date 1";"8B";56;"5";48,2669303209094
"221";"F618";"date 1";"3";14;"5";53,5026210272419
"222";"F618";"date 1";"6A";35;"5";55,8530502835877
"223";"F618";"date 1";"8A";56;"5";45,952993396065
"224";"F618";"date 1";"2";4;"5";58,5992316505963
"225";"F618";"date 1";"1";0;"5";53,7708778887893
"226";"F618";"date 1";"4";21;"5";51,8295595003932
"227";"F618";"date 1";"5B";28;"5";54,0139953409377
"228";"F618";"date 1";"7A";45;"5";52,3311305307037
"229";"F618";"date 2";"7B";45;"19";55,5086576184817
"230";"F618";"date 2";"6B";35;"19";57,9398939313795
"231";"F618";"date 2";"5A";28;"19";54,762327647881
"232";"F618";"date 2";"8B";56;"19";49,6992596841067
"233";"F618";"date 2";"3";14;"19";57,9409955092246
"234";"F618";"date 2";"6A";35;"19";55,6911503756275
"235";"F618";"date 2";"8A";56;"19";53,5473158127602
"236";"F618";"date 2";"2";4;"19";59,9296134164145
"237";"F618";"date 2";"1";0;"19";61,2746863079756
"238";"F618";"date 2";"4";21;"19";55,8494997045056
"239";"F618";"date 2";"5B";28;"19";53,5559059034363
"240";"F618";"date 2";"7A";45;"19";54,8135239395929
"241";"F618";"date 3";"7B";45;"33";56,2912869136714
"242";"F618";"date 3";"6B";35;"33";59,5295148224647
"243";"F618";"date 3";"5A";28;"33";60,6993667858087
"244";"F618";"date 3";"8B";56;"33";55,0656704705288
"245";"F618";"date 3";"3";14;"33";59,4090343916071
"246";"F618";"date 3";"6A";35;"33";59,8992861712835
"247";"F618";"date 3";"8A";56;"33";55,214280781392
"248";"F618";"date 3";"2";4;"33";61,2043060601394
"249";"F618";"date 3";"1";0;"33";64,1341049798072
"250";"F618";"date 3";"4";21;"33";59,1636035496237
"251";"F618";"date 3";"5B";28;"33";NA
"252";"F618";"date 3";"7A";45;"33";58,6423772389116
"253";"G18-M52";"date 1";"7B";45;"11";50,8180758951546
